timestamp, x, y, z, bat
2020-05-04 04:47:57:613, -20, 230, 67, 3.69
2020-05-04 04:47:57:653, -21, 230, 68, 3.69
2020-05-04 04:47:57:692, -21, 228, 71, 3.69
2020-05-04 04:47:57:732, -20, 227, 72, 3.69
2020-05-04 04:47:57:772, -18, 230, 71, 3.71
2020-05-04 04:47:57:812, -21, 231, 70, 3.69
2020-05-04 04:47:57:851, -20, 229, 69, 3.70
2020-05-04 04:47:57:891, -21, 228, 70, 3.71
2020-05-04 04:47:57:931, -21, 228, 68, 3.71
2020-05-04 04:47:57:971, -20, 227, 70, 3.70
2020-05-04 04:47:58:010, -21, 227, 70, 3.70
2020-05-04 04:47:58:050, -21, 228, 69, 3.70
2020-05-04 04:47:58:090, -23, 229, 72, 3.70
2020-05-04 04:47:58:129, -21, 229, 72, 3.70
2020-05-04 04:47:58:169, -18, 230, 73, 3.68
2020-05-04 04:47:58:209, -20, 231, 71, 3.69
2020-05-04 04:47:58:249, -22, 230, 71, 3.72
2020-05-04 04:47:58:288, -20, 230, 72, 3.70
2020-05-04 04:47:58:328, -21, 227, 71, 3.70
2020-05-04 04:47:58:368, -22, 228, 71, 3.70
2020-05-04 04:47:58:408, -24, 229, 71, 3.70
2020-05-04 04:47:58:447, -22, 230, 71, 3.70
2020-05-04 04:47:58:487, -21, 227, 73, 3.69
2020-05-04 04:47:58:527, -22, 226, 71, 3.71
2020-05-04 04:47:58:566, -21, 227, 72, 3.71
2020-05-04 04:47:58:606, -19, 230, 71, 3.71
2020-05-04 04:47:58:646, -19, 230, 70, 3.71
2020-05-04 04:47:58:686, -21, 228, 69, 3.71
2020-05-04 04:47:58:725, -20, 227, 70, 3.69
2020-05-04 04:47:58:765, -18, 228, 70, 3.70
2020-05-04 04:47:58:805, -18, 228, 73, 3.71
2020-05-04 04:47:58:845, -20, 225, 73, 3.70
2020-05-04 04:47:58:884, -23, 224, 72, 3.71
2020-05-04 04:47:58:924, -21, 227, 72, 3.70
2020-05-04 04:47:58:964, -22, 227, 72, 3.70
2020-05-04 04:47:59:003, -21, 230, 71, 3.71
2020-05-04 04:47:59:043, -20, 229, 71, 3.69
2020-05-04 04:47:59:083, -21, 230, 74, 3.70
2020-05-04 04:47:59:123, -21, 230, 73, 3.70
2020-05-04 04:47:59:162, -22, 229, 71, 3.69
2020-05-04 04:47:59:202, -24, 232, 71, 3.69
2020-05-04 04:47:59:242, -23, 228, 74, 3.69
2020-05-04 04:47:59:282, -21, 230, 73, 3.71
2020-05-04 04:47:59:321, -23, 231, 71, 3.71
2020-05-04 04:47:59:361, -24, 230, 73, 3.68
2020-05-04 04:47:59:401, -21, 228, 73, 3.71
2020-05-04 04:47:59:440, -19, 227, 70, 3.72
2020-05-04 04:47:59:480, -20, 227, 68, 3.69
2020-05-04 04:47:59:520, -20, 228, 71, 3.70
2020-05-04 04:47:59:560, -20, 227, 72, 3.71
2020-05-04 04:47:59:599, -21, 228, 71, 3.71
2020-05-04 04:47:59:639, -21, 230, 69, 3.70
2020-05-04 04:47:59:679, -21, 230, 70, 3.72
2020-05-04 04:47:59:719, -21, 232, 70, 3.69
2020-05-04 04:47:59:758, -20, 230, 70, 3.71
2020-05-04 04:47:59:798, -22, 229, 71, 3.70
2020-05-04 04:47:59:838, -21, 229, 71, 3.71
2020-05-04 04:47:59:877, -18, 230, 69, 3.71
2020-05-04 04:47:59:917, -20, 229, 73, 3.71
2020-05-04 04:47:59:957, -22, 230, 70, 3.70
2020-05-04 04:47:59:997, -22, 231, 69, 3.69
2020-05-04 04:48:00:036, -21, 232, 70, 3.69
2020-05-04 04:48:00:076, -19, 230, 70, 3.69
2020-05-04 04:48:00:116, -19, 230, 68, 3.71
2020-05-04 04:48:00:156, -19, 229, 68, 3.68
2020-05-04 04:48:00:195, -20, 227, 70, 3.71
2020-05-04 04:48:00:235, -20, 227, 71, 3.71
2020-05-04 04:48:00:275, -21, 230, 69, 3.69
2020-05-04 04:48:00:314, -22, 228, 71, 3.69
2020-05-04 04:48:00:354, -21, 228, 72, 3.70
2020-05-04 04:48:00:394, -22, 229, 69, 3.71
2020-05-04 04:48:00:434, -18, 229, 68, 3.71
2020-05-04 04:48:00:473, -19, 228, 68, 3.70
2020-05-04 04:48:00:513, -17, 226, 66, 3.70
2020-05-04 04:48:00:553, -18, 229, 69, 3.71
2020-05-04 04:48:00:593, -20, 231, 69, 3.70
2020-05-04 04:48:00:632, -20, 231, 68, 3.71
2020-05-04 04:48:00:672, -22, 231, 69, 3.70
2020-05-04 04:48:00:712, -20, 231, 72, 3.70
2020-05-04 04:48:00:751, -21, 230, 70, 3.69
2020-05-04 04:48:00:791, -21, 229, 69, 3.70
2020-05-04 04:48:00:831, -20, 230, 68, 3.72
2020-05-04 04:48:00:871, -22, 227, 65, 3.69
2020-05-04 04:48:00:910, -24, 230, 69, 3.69
2020-05-04 04:48:00:950, -25, 228, 71, 3.71
2020-05-04 04:48:00:990, -22, 227, 71, 3.71
2020-05-04 04:48:01:030, -20, 227, 71, 3.71
2020-05-04 04:48:01:069, -22, 229, 68, 3.70
2020-05-04 04:48:01:109, -19, 231, 67, 3.70
2020-05-04 04:48:01:149, -17, 231, 72, 3.69
2020-05-04 04:48:01:188, -19, 230, 73, 3.71
2020-05-04 04:48:01:228, -19, 231, 70, 3.71
2020-05-04 04:48:01:268, -22, 230, 70, 3.70
2020-05-04 04:48:01:308, -23, 229, 69, 3.71
2020-05-04 04:48:01:347, -23, 228, 71, 3.70
2020-05-04 04:48:01:387, -21, 229, 72, 3.71
2020-05-04 04:48:01:427, -21, 230, 70, 3.71
2020-05-04 04:48:01:467, -18, 226, 69, 3.71
2020-05-04 04:48:01:506, -22, 226, 67, 3.70
2020-05-04 04:48:01:546, -22, 224, 67, 3.70
2020-05-04 04:48:01:586, -21, 223, 69, 3.71
2020-05-04 04:48:01:625, -20, 226, 69, 3.69
2020-05-04 04:48:01:665, -18, 226, 71, 3.69
2020-05-04 04:48:01:705, -18, 227, 69, 3.70
2020-05-04 04:48:01:745, -18, 229, 69, 3.70
2020-05-04 04:48:01:784, -20, 229, 69, 3.71
2020-05-04 04:48:01:824, -18, 226, 70, 3.71
2020-05-04 04:48:01:864, -20, 225, 69, 3.70
2020-05-04 04:48:01:904, -19, 229, 68, 3.70
2020-05-04 04:48:01:943, -20, 230, 69, 3.69
2020-05-04 04:48:01:983, -22, 231, 68, 3.71
2020-05-04 04:48:02:023, -21, 227, 69, 3.68
2020-05-04 04:48:02:062, -22, 230, 70, 3.70
2020-05-04 04:48:02:102, -22, 231, 70, 3.69
2020-05-04 04:48:02:142, -22, 232, 69, 3.68
2020-05-04 04:48:02:182, -22, 231, 70, 3.69
2020-05-04 04:48:02:221, -22, 231, 70, 3.70
2020-05-04 04:48:02:261, -22, 231, 67, 3.69
2020-05-04 04:48:02:301, -21, 229, 69, 3.69
2020-05-04 04:48:02:341, -24, 231, 72, 3.70
2020-05-04 04:48:02:380, -21, 231, 72, 3.71
2020-05-04 04:48:02:420, -20, 231, 73, 3.69
2020-05-04 04:48:02:460, -20, 231, 72, 3.68
2020-05-04 04:48:02:499, -19, 229, 73, 3.70
2020-05-04 04:48:02:539, -19, 228, 73, 3.71
2020-05-04 04:48:02:579, -22, 228, 70, 3.71
2020-05-04 04:48:02:619, -20, 227, 71, 3.70
2020-05-04 04:48:02:658, -22, 230, 71, 3.70
2020-05-04 04:48:02:698, -24, 230, 70, 3.69
2020-05-04 04:48:02:738, -23, 229, 71, 3.71
2020-05-04 04:48:02:778, -21, 228, 73, 3.70
2020-05-04 04:48:02:817, -19, 227, 72, 3.70
2020-05-04 04:48:02:857, -20, 228, 72, 3.71
2020-05-04 04:48:02:897, -21, 225, 73, 3.70
2020-05-04 04:48:02:936, -21, 227, 73, 3.69
2020-05-04 04:48:02:976, -20, 229, 70, 3.69
2020-05-04 04:48:03:016, -20, 229, 70, 3.70
2020-05-04 04:48:03:056, -21, 229, 66, 3.71
2020-05-04 04:48:03:095, -22, 226, 71, 3.71
